CUSP_ID,NZMGE,NZMGN,ELAPSED_DAYS,MAG,DEPTH,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND
3367071,2430272,5770717,1.607183442,3.24,8.6004,2010,9,5,7,10,1.94036
3367074,2423531,5738985,1.610947735,2.865,5,2010,9,5,7,15,27.17527
3367075,2453293,5734897,1.613085092,3.542,9.1071,2010,9,5,7,18,31.84298
3367080,2440409,5733118,1.619992281,2.883,5,2010,9,5,7,28,28.62409
3367082,2449873,5734335,1.625491755,2.636,5,2010,9,5,7,36,23.7786
3367084,2422067,5741282,1.629965146,3.321,8.891,2010,9,5,7,42,50.27964
3367088,2449729,5733215,1.637356323,2.634,12,2010,9,5,7,53,28.87727
3367089,2433188,5732715,1.639327943,2.858,5,2010,9,5,7,56,19.22527
3367090,2422608,5738270,1.642177144,2.62,5,2010,9,5,8,0,25.39627
3367092,2445740,5728197,1.64451275,2.684,5,2010,9,5,8,3,47.19261
3390981,2461283,5738104,1.645616946,3.334,6.4709,2010,9,5,8,5,22.59512
3367096,2459825,5735474,1.653230931,2.819,19.2521,2010,9,5,8,16,20.44345
3390991,2441355,5735231,1.653732022,2.648,5,2010,9,5,8,17,3.73769
3367098,2471883,5733342,1.655318234,2.816,5,2010,9,5,8,19,20.78645
3390993,2419271,5742842,1.655712941,2.915,5,2010,9,5,8,19,54.88906
3367100,2458603,5734451,1.659006629,2.819,5,2010,9,5,8,24,39.46377
3367101,2466792,5730831,1.662781059,3.032,5,2010,9,5,8,30,5.57448
3367103,2414114,5736043,1.66680919,3.394,6.655,2010,9,5,8,35,53.605
3367108,2459246,5738451,1.674658408,3.008,5,2010,9,5,8,47,11.77745
3367110,2460714,5715520,1.68011046,3.277,6.7934,2010,9,5,8,55,2.83473
3367115,2465534,5729149,1.687190072,3.077,5,2010,9,5,9,5,14.51319
3392072,2459594,5730470,1.688809776,2.795,5,2010,9,5,9,7,34.45562
3367116,2448988,5734557,1.689023141,4.074,7.2382,2010,9,5,9,7,52.8904
3392078,2444299,5735910,1.69042982,3.019,5,2010,9,5,9,9,54.4274
3392084,2462665,5737978,1.691831713,2.825,12,2010,9,5,9,11,55.55098
3367117,2460855,5736076,1.692252613,3.452,8.9454,2010,9,5,9,12,31.91676
3392092,2420076,5740035,1.692998687,3.676,8.6084,2010,9,5,9,13,36.37752
3392097,2470550,5737910,1.694537935,2.733,12,2010,9,5,9,15,49.36859
3392100,2457302,5734021,1.695371158,2.964,5,2010,9,5,9,17,1.35907
3367123,2444155,5737108,1.699700817,2.755,5,2010,9,5,9,23,15.4416
3367125,2442235,5741931,1.703831013,2.509,5,2010,9,5,9,29,12.2905
3392139,2465418,5733837,1.704359651,3.39,8.3556,2010,9,5,9,29,57.96486
3367127,2445942,5731208,1.706167331,2.973,5,2010,9,5,9,32,34.14841
3367128,2429826,5735183,1.708858313,2.662,5,2010,9,5,9,36,26.64921
3367130,2444801,5733106,1.711312897,3.151,5,2010,9,5,9,39,58.7253
3392156,2434718,5734228,1.714110416,2.368,5,2010,9,5,9,44,0.43096
3367131,2462909,5735635,1.714687541,3.6,8.1388,2010,9,5,9,44,50.29451
3367133,2459134,5735778,1.716398356,2.97,5,2010,9,5,9,47,18.10897
3392565,2463779,5731021,1.718603375,2.521,5,2010,9,5,9,50,28.62262
3367136,2457120,5733545,1.720135658,3.091,5,2010,9,5,9,52,41.0118
3392572,2461869,5736873,1.720954333,2.778,5,2010,9,5,9,53,51.74535
3367138,2458855,5735860,1.724892369,2.786,5,2010,9,5,9,59,31.9917
3392579,2457990,5733470,1.726155765,2.568,5,2010,9,5,10,1,21.14911
3367141,2443923,5738911,1.727241621,2.719,5,2010,9,5,10,2,54.96708
3392610,2453033,5737941,1.728113704,2.864,5,2010,9,5,10,4,10.31501
3367144,2464197,5731780,1.734280114,2.955,5,2010,9,5,10,13,3.09286
3367147,2443253,5737612,1.738108397,3.464,7.9171,2010,9,5,10,18,33.85651
3367152,2430411,5738171,1.747516592,3.049,5,2010,9,5,10,32,6.72456
3367157,2413342,5739566,1.760146905,2.793,5,2010,9,5,10,50,17.9836
3367158,2424108,5739175,1.761876295,2.925,5,2010,9,5,10,52,47.40286
3392641,2434772,5733218,1.762751177,3.029,5,2010,9,5,10,54,2.99268
3367159,2460509,5738049,1.763856561,3.563,7.1449,2010,9,5,10,55,38.49788
3367160,2423542,5741814,1.765241429,3.047,5,2010,9,5,10,57,38.15046
3393014,2461473,5728075,1.766132963,2.66,5,2010,9,5,10,58,55.17896
3367161,2417377,5741833,1.76796583,2.478,5,2010,9,5,11,1,33.5387
3393025,2456880,5734293,1.771238886,2.979,5,2010,9,5,11,6,16.33078
3367163,2457668,5736303,1.772473885,2.792,5,2010,9,5,11,8,3.03467
3367165,2453466,5730911,1.774056783,2.706,12,2010,9,5,11,10,19.79701
3367167,2454915,5735373,1.777398526,3.461,7.6978,2010,9,5,11,15,8.52365
3393037,2454131,5735502,1.778199474,2.949,5,2010,9,5,11,16,17.72556
3367168,2447370,5729610,1.78053716,3.241,5,2010,9,5,11,19,39.70158
3367172,2421097,5736719,1.787229859,3.025,5,2010,9,5,11,29,17.95082
3367174,2459681,5737380,1.792079818,3.218,5,2010,9,5,11,36,16.98723
